Year,January,February,March,April,May,June,July,August,September,October,November,December
1960,479.0,480.0,339.0,124.0,456.0,428.0,672.0,608.0,753.0,1555.0,895.0,566.0
1961,644.0,551.0,57.0,508.0,172.0,292.0,262.0,476.0,648.0,568.0,525.0,886.0
1962,761.0,126.0,358.0,418.0,296.0,61.0,828.0,529.0,884.0,376.0,419.0,528.0
1963,129.0,66.0,682.0,521.0,337.0,483.0,281.0,534.0,490.0,347.0,1190.0,165.0
1964,178.0,168.0,951.0,735.0,461.0,1101.0,202.0,212.0,111.0,292.0,296.0,299.0
1965,430.0,83.0,580.0,448.0,395.0,546.0,859.0,559.0,1094.0,189.0,654.0,873.0
1966,326.0,734.0,122.0,986.0,505.0,667.0,780.0,862.0,367.0,1221.0,417.0,625.0
1967,364.0,486.0,357.0,441.0,1021.0,510.0,735.0,474.0,595.0,1038.0,423.0,540.0
1968,651.0,253.0,226.0,442.0,808.0,549.0,794.0,682.0,1314.0,642.0,443.0,749.0
1969,717.0,450.0,560.0,203.0,595.0,266.0,687.0,930.0,31.0,51.0,687.0,461.0
1970,677.0,399.0,376.0,595.0,251.0,701.0,530.0,536.0,498.0,104.0,1512.0,385.0
1971,705.0,166.0,424.0,473.0,767.0,1277.0,193.0,644.0,111.0,578.0,639.0,210.0
1972,553.0,434.0,540.0,383.0,259.0,154.0,272.0,154.0,276.0,173.0,577.0,668.0
1973,133.0,126.0,105.0,581.0,542.0,688.0,491.0,409.0,607.0,386.0,266.0,523.0
1974,531.0,578.0,272.0,152.0,224.0,672.0,298.0,678.0,1400.0,719.0,1429.0,344.0
1975,923.0,230.0,697.0,436.0,629.0,232.0,363.0,133.0,1112.0,232.0,583.0,291.0
1976,139.0,211.0,113.0,99.0,193.0,63.0,154.0,164.0,966.0,930.0,818.0,723.0
1977,635.0,654.0,568.0,327.0,373.0,524.0,104.0,1503.0,153.0,481.0,513.0,558.0
1978,688.0,409.0,589.0,454.0,785.0,381.0,655.0,536.0,171.0,16.0,83.0,1090.0
1979,599.0,440.0,949.0,776.0,870.0,376.0,217.0,334.0,208.0,687.0,483.0,908.0
1980,297.0,368.0,721.0,216.0,261.0,1062.0,593.0,523.0,277.0,965.0,264.0,334.0
1981,327.0,119.0,908.0,324.0,798.0,395.0,567.0,453.0,946.0,765.0,341.0,853.0
1982,380.0,316.0,515.0,228.0,719.0,846.0,245.0,397.0,396.0,1091.0,729.0,636.0
1983,472.0,310.0,337.0,1015.0,729.0,120.0,503.0,114.0,429.0,417.0,395.0,509.0
1984,733.0,329.0,734.0,54.0,909.0,361.0,192.0,278.0,734.0,828.0,698.0,567.0
1985,413.0,298.0,341.0,333.0,647.0,889.0,352.0,589.0,112.0,184.0,300.0,805.0
1986,1056.0,145.0,435.0,607.0,523.0,172.0,546.0,667.0,228.0,724.0,661.0,606.0
1987,111.0,324.0,427.0,399.0,541.0,699.0,773.0,572.0,369.0,1748.0,433.0,144.0
1988,1069.0,260.0,595.0,277.0,416.0,443.0,762.0,609.0,278.0,563.0,160.0,89.0
1989,260.0,402.0,566.0,642.0,121.0,355.0,367.0,557.0,108.0,528.0,238.0,1193.0
1990,711.0,923.0,69.0,297.0,41.0,395.0,69.0,268.0,249.0,497.0,221.0,514.0
1991,697.0,347.0,259.0,528.0,91.0,886.0,929.0,260.0,437.0,185.0,593.0,120.0
1992,126.0,177.0,385.0,571.0,945.0,225.0,623.0,847.0,773.0,594.0,869.0,359.0
1993,631.0,24.0,160.0,753.0,318.0,439.0,350.0,238.0,963.0,1230.0,295.0,738.0
1994,800.0,426.0,400.0,528.0,806.0,170.0,169.0,322.0,863.0,760.0,431.0,633.0
1995,1137.0,719.0,495.0,169.0,300.0,111.0,203.0,3.0,950.0,192.0,285.0,828.0
1996,415.0,490.0,314.0,250.0,258.0,120.0,288.0,458.0,220.0,354.0,910.0,130.0
1997,103.0,551.0,114.0,98.0,282.0,796.0,346.0,705.0,68.0,449.0,471.0,472.0
1998,686.0,66.0,511.0,826.0,319.0,896.0,269.0,166.0,1012.0,1038.0,570.0,492.0
1999,687.0,211.0,256.0,350.0,358.0,982.0,86.0,1248.0,867.0,492.0,312.0,772.0
2000,165.0,622.0,160.0,996.0,872.0,192.0,528.0,323.0,1058.0,1554.0,995.0,739.0
2001,752.0,696.0,953.0,665.0,260.0,391.0,352.0,790.0,596.0,1082.0,338.0,178.0
2002,510.0,640.0,376.0,384.0,664.0,742.0,672.0,363.0,200.0,616.0,1510.0,1190.0
2003,736.0,208.0,164.0,300.0,391.0,476.0,288.0,104.0,84.0,352.0,1138.0,518.0
2004,719.0,263.0,295.0,697.0,450.0,404.0,376.0,1078.0,189.0,966.0,296.0,464.0
2005,216.0,197.0,436.0,300.0,198.0,326.0,458.0,424.0,475.0,734.0,292.0,444.0
2006,168.0,412.0,446.0,334.0,916.0,118.0,236.0,688.0,782.0,644.0,980.0,636.0
2007,560.0,929.0,438.0,36.0,800.0,638.0,1152.0,410.0,174.0,378.0,848.0,446.0
2008,690.0,154.0,698.0,634.0,642.0,456.0,768.0,644.0,430.0,450.0,588.0,412.0
2009,724.0,696.0,300.0,280.0,298.0,340.0,714.0,396.0,360.0,394.0,1480.0,846.0
2010,518.0,1004.0,398.0,232.0,206.0,124.0,180.0,886.0,382.0,748.0,322.0,214.0
2011,768.0,428.0,146.0,24.0,246.0,840.0,498.0,688.0,350.0,184.0,290.0,630.0
2012,344.0,168.0,162.0,984.0,254.0,1108.0,718.0,364.0,412.0,884.0,718.0,958.0
2013,501.0,328.0,528.0,340.0,418.0,116.0,252.0,326.0,496.0,814.0,500.0,982.0
2014,1624.0,898.0,278.0,580.0,846.0,408.0,500.0,976.0,108.0,760.0,1284.0,378.0
2015,634.0,386.0,240.0,162.0,416.0,122.0,718.0,1168.0,500.0,398.0,482.0,394.0
2016,748.0,438.0,728.0,472.0,604.0,934.0,160.0,216.0,422.0,216.0,864.0,104.0
2017,602.0,382.0,258.0,46.0,648.0,464.0,900.0,586.0,590.0,92.0,342.0,812.0
2018,574.0,262.0,836.0,650.0,570.0,4.0,148.0,476.0,298.0,600.0,684.0,664.0
2019,302.0,352.0,476.0,130.0,354.0,822.0,524.0,,,,,
